,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,fund_acr,fund_no,fund_sponsor
111,2-s2.0-85087667419,10.1007/s35784-019-0016-1,,,Joining and Disjoining Concepts for Adhesive Bonded Lightweight Structures,no,Note,Ditter J.,60109686;60020238,Hamm-Lippstadt University of Applied Sciences;Universität Paderborn,Hamm;Paderborn,Germany;Germany,3,"Ditter, Jan;Meschut, Gerson;Wibbeke, Tim Michael",57207925951;6603139469;8545067400,60020238;;60109686,2019-09-01,1 September 2019,Adhesion Adhesives and Sealants,21922624,21100884578,21956545,Trade Journal,16,3,,12-17,,,0,0,,undefined,
112,2-s2.0-85089978019,10.1007/s35145-019-0038-5,,,Disjoining and joining concepts for adhesive-bonded lightweight structures,no,Note,Ditter J.,60109686;60020238,Hamm-Lippstadt University of Applied Sciences;Universität Paderborn,Hamm;Paderborn,Germany;Germany,3,"Ditter, Jan;Meschut, Gerson;Wibbeke, Tim Michael",57207925951;6603139469;8545067400,60020238;60020238;60109686,2019-06-01,1 June 2019,Adhaesion Kleben und Dichten,16191919,88311,21928681,Trade Journal,63,6,,18-25,,,0,0,,undefined,
113,2-s2.0-85063268753,10.1007/s40194-018-0651-1,,,Mechanical properties of repair welded joints for automobile body structures,ar,Article,Ditter J.,60109686;60020238,Hamm-Lippstadt University of Applied Sciences;Universität Paderborn,Hamm;Paderborn,Germany;Germany,4,"Ditter, Jan;Wünsche, Marc;Meschut, Gerson;Wibbeke, Tim Michael",57207925951;56592540800;6603139469;8545067400,60020238;60020238;60020238;60109686,2019-03-08,8 March 2019,Welding in the World,00432288,12037,,Journal,63,2,,237-247,"© 2018, International Institute of Welding. The purpose of this study is to evaluate the mechanical properties of repair spot welding and plug welding for automobile body structures. The lifecycle of a modern car includes different phases. From research and development to production and assembly and finally to the use of the car by the customers. These are the most examined phases, whereas the after-sales sector is a nonetheless important part of the lifecycle. After sales includes the repair of damaged automobile structures after road accidents. Increasing demands for safety and comfort lead to the request for feasible repair methods which create equal mechanical characteristics of the body structures such as the original set up. The joining technologies for modern press-hardened high-strength steels are essential in this context. Testing of lap shear and cross-tensile specimens is used to show mechanical properties of two repair welding technologies. The results show a major loss of strength in the tested joints when using plug welding instead of state of the art repair spot welding. Various analytical methods are moreover used to get a detailed understanding of the influence of both repair welding technologies on the material structure.",Body repair | Plug welding | Press-hardened steel | Pressure welding,0,0,,undefined,
114,2-s2.0-85089960376,10.1007/s35145-019-0004-2,,,Simple determination of fast curing parameters for elementarily bonded structures,no,Note,Ditter J.,60020238,Universität Paderborn,Paderborn,Germany,4,"Ditter, Jan;Aubel, Tobias;Teutenberg, Dominik;Meschut, Gerson",57207925951;57217863046;55752638000;6603139469,60020238;60020238;60020238;60020238,2019-02-01,1 February 2019,Adhaesion Kleben und Dichten,16191919,88311,21928681,Trade Journal,63,1-2,,40-45,,,0,0,,undefined,
144,2-s2.0-85070079404,10.1002/fam.2753,,,Heat propagation in thermally conductive polymers of PA6 and hexagonal boron nitride,ar,Article,Fischer A.J.,60011069;60000765,East China University of Science and Technology;Friedrich-Alexander-Universität Erlangen-Nürnberg,Shanghai;Erlangen,China;Germany,5,"Fischer, Andreas J.;Zhong, Yuhua;Zhang, Luchong;Wu, Wei;Drummer, Dietmar",56985036400;56070092600;56320673400;57188634769;6602422705,60000765;60011069;60011069;60011069;60000765,2019-12-01,1 December 2019,Fire and Materials,03080501,20623,10991018,Journal,43,8,,928-935,"© 2019 John Wiley  &  Sons, Ltd. Thermally conductive polymers offer new possibilities for the heat dissipation in electric and electronic components, for example, by a three-dimensional shaping of the heat sinks. To face safety regulations, improved fire performance of those components is required. In contrast to unfilled polymers, those materials exhibit an entirely different thermal behavior. To investigate the flammability, a phosphorus flame retardant was incorporated into thermally conductive composites of polyamide 6 and hexagonal boron nitride. The flame retardant decreased the thermal conductivity only slightly. However, the burning behavior changed significantly, due to a different heat propagation, which was investigated using a thermographic camera. An optimum content of hexagonal boron nitride for a sufficient thermal conductivity and fire performance was found between 20 and 30 vol%. The improvement of the fire performance was due to a faster heat release out of the pyrolysis zone and an earlier decomposition of the flame retardant. For higher contents of hexagonal boron nitride, the heat was spread faster within the part, promoting an earlier ignition and increasing the decomposition rate of the flame retardant.",aluminum diethylphosphinate | hexagonal boron nitride | polyamide 6 | thermally conductive polymers | thermography,0,0,CSC,57207457,China Scholarship Council
145,2-s2.0-85075555588,10.3390/polym11111797,,,Influence of filler content and filler size on the curing kinetics of an epoxy resin,ar,Article,Zhao Y.,60000765,Friedrich-Alexander-Universität Erlangen-Nürnberg,Erlangen,Germany,2,"Zhao, Yang;Drummer, Dietmar",57194057428;6602422705,60000765;60000765,2019-11-01,1 November 2019,Polymers,,54222,20734360,Journal,11,11,1797,,"© 2019 by the authors. In this research, the influences of filler content and filler particle size on the flow-hardening behavior were investigated by a measuring mixer. In order to more reliably assess the observed rheological behavior, isothermal differential scanning calorimetry (DSC) measurements were employed to study the curing kinetics of the compounds. The measured data can be fitted well with Kamal-Sourour's model modified by the diffusion correlation according to Chern and Poehlein. After that, the influence of filler content and size on the kinetic parameters are presented discussed. The results show that the ultimate glass transition temperature is significantly lower for pure epoxy resin (EP) than for compounds filled with surface-treated glass beads, which have an essential effect on the diffusion-controlled reaction at different curing temperatures. For the surface-treated glass beads used in this study, the reaction speed in the early curing stage is accelerated by increasing filler content or decreasing of filler size. In the later curing stage, the reaction speeds of compounds with higher filler content or smaller fillers reduce more quickly. The study of reaction kinetics indicates that the activation energy Ea1, Ea2, the reaction order m, and n are affected differently by varying filler content and size.",Diffusion | Epoxy molding compound (EMC) | Filler content | Filler size | Isothermal DSC | Kamal-Sourour's model | Reaction kinetics,2,1,FAU,undefined,Friedrich-Alexander-Universität Erlangen-Nürnberg
146,2-s2.0-85060020186,10.1177/0892705718797157,,,Nanofiller materials for transparent polymer composites: Influences on the properties and on the transparency—A review,re,Review,Wildner W.,60000765,Friedrich-Alexander-Universität Erlangen-Nürnberg,Erlangen,Germany,2,"Wildner, Wolfgang;Drummer, Dietmar",55452159100;6602422705,60000765;60000765,2019-11-01,1 November 2019,Journal of Thermoplastic Composite Materials,08927057,13690,15307980,Journal,32,11,,1547-1565,"© The Author(s) 2018. Filler materials are widely used in combination with polymer materials. Conventional filler particles generally cause light scattering and absorption because of their optical characteristic or refractive index difference. With nanoparticles (NPs) as a filler material, it is theoretically possible to manufacture transparent compounds due to their small particle dimensions reducing the interaction with light. Nevertheless, the particles tend to build agglomerates and aggregates which reduce the composite’s transparency considerably. This review gives an overview of the effect different particle materials have on the properties of transparent polymer composites with consideration of the composite’s transparency. There are very few reports on highly transparent and thick (>1 mm) polymer nanocomposites with such an amount of particles that affect other properties of the polymer significantly. In the majority of cases, NPs lead to a significant lower transparency. This indicates that the homogeneous dispersion of the particles is still a major difficulty in producing transparent nanocomposites with enhanced properties.",Nanocomposites | nanofillers | transparent composites | transparent fillers | transparent polymers,2,0,DFG,undefined,Deutsche Forschungsgemeinschaft
147,2-s2.0-85074365007,10.1007/s00170-019-04306-9,,,Investigation of the effects of pre-cross-linked thermoset molding compounds on weld line strength in injection molding,ar,Article,Zhao Y.,60000765,Friedrich-Alexander-Universität Erlangen-Nürnberg,Erlangen,Germany,3,"Zhao, Yang;Mattner, Tobias;Drummer, Dietmar",57213969177;57190673327;6602422705,60000765;60000765;60000765,2019-11-01,1 November 2019,International Journal of Advanced Manufacturing Technology,02683768,20428,14333015,Journal,105,1-4,,1723-1733,"© 2019, Springer-Verlag London Ltd., part of Springer Nature. In this study, epoxy molding compounds (EMC) filled with glass beads were fabricated with a twin-screw-extruder (TSE) and tempered before further processing to generate different degrees of cross-linking (0–15%) in the compounds. After that, the compounds were injection-molded into tensile samples with and without weld lines to investigate the influence of pre-cross-linking of compounds on the weld line strength. Both the referent fracture strength and the weld line strength were improved with the increase of pre-cross-linking in compounds. Especially, cavities in the weld line area were reduced presumably due to the improved venting with the increased viscosity. For the resized samples without notches, their weld line strength are higher than those with notches. The in-mold pressure of more pre-cross-linked compounds can be hold longer than less pre-cross-linked compounds. This could lead to a better compensation of the material shrinkage. This might be the reason for the improved weld line strength for more pre-cross-linked compounds.",Curing degree | Epoxy molding compound (EMC) | Flow-hardening behavior | In-mold pressure | Melt flow behavior | Thermosets injection molding | Weld line strength,1,0,DFG,undefined,Deutsche Forschungsgemeinschaft
148,2-s2.0-85075579204,10.3390/polym11111766,,,The effect of temperature and strain rate on the interfacial behavior of glass fiber reinforced polypropylene composites: A molecular dynamics study,ar,Article,Zhang M.,60017060;60000765,Central South University;Friedrich-Alexander-Universität Erlangen-Nürnberg,Changsha;Erlangen,China;Germany,5,"Zhang, Muhan;Jiang, Bingyan;Chen, Chao;Drummer, Dietmar;Zhai, Zhanyu",57211982661;7402264782;56996354300;6602422705;57191441070,60017060;60017060;60017060;60000765;60017060,2019-11-01,1 November 2019,Polymers,,54222,20734360,Journal,11,11,1766,,"© 2019 by the authors. To make better use of fiber reinforced polymer composites in automotive applications, a clearer knowledge of its interfacial properties under dynamic and thermal loadings is necessary. In the present study, the interfacial behavior of glass fiber reinforced polypropylene (PP) composites under different loading temperatures and strain rates were investigated via molecular dynamics simulation. The simulation results reveal that PP molecules move easily to fit tensile deformation at higher temperatures, resulting in a lower interfacial strength of glass fiber-PP interface. The interfacial strength is enhanced with increasing strain rate because the atoms do not have enough time to relax at higher strain rates. In addition, the non-bonded interaction energy plays a crucial role during the tensile deformation of composites. The damage evolution of glass fiber-PP interface followsWeibull's distribution. At elevated temperatures, tensile loading is more likely to cause cohesive failure because the mechanical property of PP is lower than that of the glass fiber-PP interface. However, at higher strain rates, the primary failure mode is interfacial failure because the strain rate dependency of PP is more pronounced than that of the glass fiber-PP interface. The relationship between the failure modes and loading conditions obtained by molecular dynamics simulation is consistent with the author's previous experimental studies.",Adhesion | Interface | Molecular dynamics simulation | Polymer-matrix composites (PMCs),5,1,NSFC,51905552,National Natural Science Foundation of China
149,2-s2.0-85071156710,10.1515/polyeng-2019-0110,,,Influence of chemical postprocessing on mechanical properties of laser-sintered polyamide 12 parts,ar,Article,Wörz A.,60000765;123321906,Friedrich-Alexander-Universität Erlangen-Nürnberg;Chair of Manufacturing Technology,Erlangen;Essen,Germany;Germany,6,"Wörz, Andreas;Wiedau, Livia C.;Wudy, Katrin;Wegner, Andreas;Witt, Gerd;Drummer, Dietmar",57189762848;57210639612;56226280400;55522633700;7004984542;6602422705,60000765;123321906;60000765;123321906;123321906;60000765,2019-10-01,1 October 2019,Journal of Polymer Engineering,03346447,13571,,Journal,39,9,,830-837,"© 2019 Walter de Gruyter GmbH, Berlin/Boston. A limiting factor for industrial usage of laser-sintered parts is the high surface roughness due to the semi-molten or attaching powder particles resulting from tool and pressureless manufacturing. An approach to improve the surface quality is the postprocessing with acids to smoothen the surface as it enables improvement without geometrical restrictions of the parts. The present work deals with the usage of nitric, hydrochloric, and trifluoroacetic acids, and exhibits the influence on the resulting surface morphology, dimensional accuracy, and the mechanical properties. The results exhibit different interaction mechanics and show great differences in the resulting part properties.",laser sintering | mechanical properties | polyamide 12 | post-treatment | roughness,0,0,,undefined,
150,2-s2.0-85068821954,10.1063/1.5112663,,,Development of a simulation method for the prediction of transmission errors of injection molded spur gears,cp,Conference Paper,Schubert D.,60000765,Friedrich-Alexander-Universität Erlangen-Nürnberg,Erlangen,Germany,4,"Schubert, Dominik;Hertle, Sebastian;Kleffel, Tobias;Drummer, Dietmar",57209833333;57190014460;57193483545;6602422705,60000765;60000765;60000765;60000765,2019-07-02,2 July 2019,AIP Conference Proceedings,0094243X,26916,15517616,Conference Proceeding,2113,,130003,,"© 2019 Author(s). Due to the cost-efficient injection molding process and its high degree of freedom in design injection molded gears are widely used in actuating drives. One important functional requirement is the positioning precision of these systems. In gear applications, this precision is mostly dependent on the transmission error. Therefore, a lot of effort in mold design and construction is spent on ensuring acceptable transmission errors of injection molded plastic spur gears. To predict the transmission error of injection molded spur gears, an integrative simulation method is developed in this work. First, the injection molding process is simulated. The resulting gear geometry is transferred to the mechanical model of a flank-rolling test to evaluate the transmission error. The transmission error is mainly dependent on the local shrinkage and warpage caused in the solidification processes during injection molding, which in turn are influenced primary by tool design and process parameters. It is shown, that accurate simulation results concerning gear geometry, require a precise modeling of the process, tool and material. This includes accurate modelling of injection and temperature parameters, gate and cooling design, and behavior of the material. The simulation of the flank-rolling test has to take the specified reference torque and testing speed into account to ensure a realistic prediction of the resulting transmission errors. The research is done on gears with module 1 mm and 39 teeth. According to the model, the gate design has the highest influence on the transmission error. An increase in transmission error of 100% is predicted for gears with three symmetric pin-point gates compared to a central pin-point gate, and an increase of 50% for an eccentric pin-point gate. Therefore, if sufficiently modeled, a realistic prediction of transmission errors is possible.",,0,0,DFG,DR-421/21-1,Deutsche Forschungsgemeinschaft
